Discipline	Duration	Intensity	Description	MinFitnessLevel	MaxFitnessLevel	TargetExertionMin	TargetExertionMax
Running	30	High	4 x 4 min with 2 min rest	1	5	6	20
Cycling	30	High	7 x 30 sec all-out with 3 min rest	4	5	6	20
Swimming	30	High	5 x 30 sec all-out with 3 min rest	3	4	6	20
XC-skiing	45	Moderate	Steady pace	1	5	6	20
Rowing	60	Low	Slow comfortable pace	1	5	6	20
Kayaking	10	High	"Tabata" 4 min 20/10 timer	1	5	6	20
	45	Moderate	4 x 10 min with 2 min pace	1	5	6	20
	5	High	3 x 20 sec all-out with 3 min rest	1	5	6	20
	60	Moderate	6 x 8 min with 2 min rest	1	5	6	20
	65	Low/Moderate	Play geocaching, for example Turf (https://apps.apple.com/se/app/turf/id651577273)	1	5	6	20
